game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
0,1,1,1,True,False,False,False,False,True,True
0,1,2,2,False,False,False,False,False,True,True
1,1,1,1,True,False,False,False,False,False,True
1,1,2,2,False,False,False,False,False,False,True
1,2,1,1,True,False,False,False,False,False,True
1,2,2,2,False,False,False,False,False,False,True
2,1,1,1,True,False,False,False,False,True,True
2,1,2,2,False,False,False,False,False,True,True
3,1,1,1,True,False,False,False,False,True,True
3,1,2,2,False,False,False,False,False,True,True
4,1,1,1,False,False,False,False,False,True,True
4,1,2,2,True,False,False,False,False,True,True
5,1,1,1,True,False,True,True,True,False,True
5,1,2,2,True,False,True,True,True,False,True
6,1,1,1,True,False,True,True,True,True,True
6,1,2,2,False,False,True,True,True,True,True
7,1,1,1,True,False,True,True,True,True,True
7,1,2,2,True,False,True,True,True,True,True
8,1,1,1,True,False,True,True,True,False,True
8,1,2,2,True,False,True,True,True,False,True
9,1,1,1,True,False,True,True,True,False,True
9,1,2,2,False,False,True,True,True,False,True
10,1,1,1,True,False,True,True,True,True,True
10,1,2,2,True,False,True,True,True,True,True
11,1,1,1,True,False,False,False,False,True,True
11,1,2,2,False,False,False,False,False,True,True
12,1,1,1,True,False,False,False,False,True,True
12,1,2,2,False,False,False,False,False,True,True
13,1,1,1,False,False,False,False,False,True,True
13,1,2,2,True,False,False,False,False,True,True
13,2,1,1,False,False,False,False,False,True,True
13,2,2,2,False,False,False,False,False,True,True
14,1,1,1,True,False,True,True,True,True,True
14,1,2,2,True,False,True,True,True,True,True
15,1,1,1,False,False,False,False,False,False,True
15,1,2,2,True,False,False,False,False,False,True
15,2,1,1,False,False,True,True,True,False,True
15,2,2,2,True,False,True,True,True,False,True
16,1,1,1,True,False,False,False,False,False,True
16,1,2,2,False,False,False,False,False,False,True
17,1,1,1,True,False,False,False,False,True,True
17,1,2,2,False,False,False,False,False,True,True
18,1,1,1,True,False,True,True,True,False,True
18,1,2,2,True,False,True,True,True,False,True
19,1,1,1,False,False,False,False,False,False,True
19,1,2,2,True,False,False,False,False,False,True
19,2,1,1,True,False,False,False,False,False,True
