game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
0,1,1,1,False,False,False,False,False,True,True
0,1,2,2,False,False,False,False,False,True,True
1,1,1,1,True,False,False,False,False,False,True
1,1,2,2,False,False,False,False,False,False,True
2,1,1,1,False,False,False,False,False,False,True
2,1,2,2,False,False,False,False,False,False,True
2,2,1,1,False,False,True,True,True,False,True
2,2,2,2,True,False,True,True,True,False,True
3,1,1,1,False,False,False,False,False,True,True
3,1,2,2,True,False,False,False,False,True,True
3,2,1,1,True,False,True,True,True,True,True
3,2,2,2,True,False,True,True,True,True,True
5,1,1,1,True,False,True,False,False,False,True
5,1,2,2,True,False,True,False,False,False,True
6,1,1,1,True,False,True,True,True,True,True
6,1,2,2,True,False,True,True,True,True,True
8,1,1,1,True,False,True,True,True,True,True
8,1,2,2,True,False,True,True,True,True,True
9,1,1,1,True,False,False,False,False,False,True
9,1,2,2,False,False,False,False,False,False,True
10,1,1,1,True,False,True,True,True,True,True
10,1,2,2,True,False,True,True,True,True,True
11,1,1,1,False,False,False,False,False,False,True
11,1,2,2,False,False,False,False,False,False,True
12,1,1,1,True,False,True,True,True,True,True
12,1,2,2,True,False,True,True,True,True,True
13,1,1,1,False,False,True,True,True,False,True
13,1,2,2,False,False,True,True,True,False,True
14,1,1,1,True,False,True,True,True,True,True
14,1,2,2,True,False,True,True,True,True,True
15,1,1,1,True,False,True,True,True,True,True
15,1,2,2,True,False,True,True,True,True,True
16,1,1,1,True,False,True,True,True,True,True
16,1,2,2,True,False,True,True,True,True,True
17,1,1,1,True,False,True,True,True,True,True
17,1,2,2,True,False,True,True,True,True,True
18,1,1,1,True,False,True,True,True,False,True
18,1,2,2,True,False,True,True,True,False,True
19,1,1,1,False,False,True,True,True,False,True
19,1,2,2,True,False,True,True,True,False,True
20,1,1,1,True,False,True,True,True,True,True
20,1,2,2,True,False,True,True,True,True,True
21,1,1,1,True,False,True,True,True,True,True
21,1,2,2,True,False,True,True,True,True,True
22,1,1,1,False,False,False,False,False,False,True
22,1,2,2,True,False,False,False,False,False,True
22,2,1,1,False,False,True,True,True,False,True
22,2,2,2,True,False,True,True,True,False,True
23,1,1,1,True,False,False,False,False,False,True
23,1,2,2,False,False,False,False,False,False,True
24,1,1,1,True,False,True,True,True,True,True
24,1,2,2,True,False,True,True,True,True,True
25,1,1,1,True,False,True,True,True,True,True
25,1,2,2,True,False,True,True,True,True,True
26,1,1,1,True,False,True,True,True,False,True
26,1,2,2,False,False,True,True,True,False,True
27,1,1,1,True,False,False,False,False,False,True
